keyword,risk_score,personality_distribution
happening,0,"anxious (37%), confused (26%), greedy (11%)"
perhaps,0,"greedy (96%), anxious (4%)"
sooner,0,"trusting (31%), anxious (29%), confused (25%)"
platinum,0,greedy (100%)
comes,0,"confused (37%), greedy (32%), anxious (16%)"
annual,0,"greedy (75%), distracted (12%), aggressive (6%)"
icing,0,greedy (100%)
cake,0,greedy (100%)
personalized,0,greedy (100%)
version,0,"anxious (33%), trusting (33%), greedy (25%)"
hidden,0,"greedy (70%), confused (25%), polite (5%)"
discussed,0,greedy (100%)
guy,0,"confused (44%), distracted (33%), greedy (22%)"
huge,0,"greedy (31%), anxious (25%), skeptical (25%)"
reasonable,0,"greedy (38%), trusting (34%), anxious (9%)"
programs,0,"greedy (80%), skeptical (20%)"
notch,0,"greedy (54%), polite (15%), skeptical (15%)"
missing,0,"skeptical (36%), aggressive (21%), anxious (14%)"
trip,0,greedy (100%)
tactics,0,"aggressive (50%), polite (40%), greedy (10%)"
asked,0,"greedy (60%), confused (20%), polite (20%)"
moving,0,"greedy (50%), aggressive (17%), skeptical (17%)"
add,0,"trusting (57%), greedy (43%)"
incentive,0,greedy (100%)
friend,0,"greedy (50%), trusting (38%), anxious (12%)"
otherwise,0,"aggressive (86%), trusting (14%)"
reporting,0,"aggressive (53%), anxious (18%), polite (12%)"
ftc,0,"skeptical (55%), anxious (27%), aggressive (9%)"
file,0,"confused (31%), trusting (15%), greedy (13%)"
says,0,"aggressive (49%), confused (23%), trusting (16%)"
received,0,"trusting (21%), aggressive (17%), polite (17%)"
survey,0,"greedy (27%), aggressive (20%), confused (20%)"
participated,0,"aggressive (60%), skeptical (40%)"
respect,0,"greedy (46%), aggressive (31%), polite (15%)"
specialist,0,"greedy (78%), skeptical (11%), distracted (11%)"
amazing,0,"greedy (66%), trusting (27%), anxious (5%)"
tempted,0,greedy (100%)
absolute,0,greedy (100%)
strings,0,"greedy (80%), anxious (13%), polite (7%)"
attached,0,"greedy (77%), anxious (15%), polite (8%)"
surprises,0,"greedy (89%), anxious (11%)"
qualify,0,greedy (100%)
alert,0,"polite (50%), aggressive (20%), skeptical (10%)"
major,0,"polite (33%), greedy (18%), anxious (15%)"
normally,0,"greedy (78%), anxious (9%), confused (6%)"
consultation,0,greedy (100%)
monthly,0,greedy (100%)
promotional,0,"greedy (29%), confused (29%), polite (29%)"
discounted,0,"greedy (57%), confused (10%), distracted (10%)"
arrangement,0,"greedy (83%), polite (11%), confused (6%)"
master,0,greedy (100%)
authority,0,"greedy (38%), polite (38%), skeptical (12%)"
level,0,"greedy (39%), anxious (21%), skeptical (14%)"
expecting,0,"greedy (60%), polite (20%), anxious (10%)"
stand,0,"greedy (57%), confused (14%), skeptical (14%)"
emails,0,"skeptical (40%), greedy (20%), trusting (20%)"
interest,0,"greedy (90%), confused (5%), distracted (5%)"
vacation,0,"greedy (92%), anxious (6%), confused (2%)"
star,0,"greedy (92%), polite (8%)"
general,0,"greedy (33%), polite (33%), aggressive (11%)"
addition,0,greedy (100%)
seeing,0,"greedy (35%), trusting (22%), confused (13%)"
curious,0,"greedy (83%), polite (17%)"
rebate,0,greedy (100%)
participate,0,"greedy (92%), polite (8%)"
shopping,0,"greedy (50%), polite (25%), anxious (8%)"
habits,0,"greedy (62%), anxious (25%), polite (12%)"
nearby,0,"trusting (31%), greedy (23%), confused (15%)"
upgrading,0,greedy (100%)
deals,0,greedy (100%)
purchasing,0,"greedy (43%), polite (29%), confused (14%)"
partnership,0,"skeptical (32%), polite (26%), aggressive (19%)"
select,0,"greedy (33%), confused (33%), polite (17%)"
www,0,"distracted (30%), anxious (25%), confused (20%)"
patience,0,"greedy (43%), trusting (43%), polite (14%)"
documentation,0,"greedy (54%), polite (31%), aggressive (8%)"
potentially,0,"greedy (58%), aggressive (17%), distracted (8%)"
decent,0,greedy (100%)
substantial,0,greedy (100%)
agreed,0,"greedy (40%), polite (20%), aggressive (20%)"
credited,0,"greedy (50%), polite (30%), skeptical (10%)"
showing,0,"trusting (29%), polite (14%), aggressive (14%)"
asap,0,"trusting (40%), greedy (35%), anxious (15%)"
separately,0,greedy (100%)
sweeter,0,greedy (100%)
timeline,0,greedy (100%)
knowing,0,"confused (35%), greedy (29%), trusting (18%)"
savings,0,"greedy (57%), aggressive (29%), anxious (14%)"
prizes,0,"greedy (35%), anxious (17%), aggressive (13%)"
shipped,0,greedy (100%)
dollars,0,"anxious (35%), greedy (20%), skeptical (15%)"
efforts,0,"polite (78%), greedy (17%), aggressive (6%)"
proceeding,0,"polite (81%), greedy (14%), skeptical (5%)"
incident,0,"polite (43%), aggressive (25%), greedy (21%)"
resort,0,greedy (100%)
hawaii,0,greedy (100%)
streaming,0,greedy (100%)
style,0,greedy (100%)
upfront,0,"greedy (92%), anxious (8%)"
manageable,0,"greedy (40%), confused (20%), anxious (20%)"
product,0,"greedy (40%), polite (40%), skeptical (20%)"
brands,0,"greedy (80%), polite (20%)"
method,0,"greedy (54%), polite (17%), trusting (8%)"
remaining,0,"greedy (71%), trusting (14%), anxious (14%)"
unknown,0,"polite (30%), skeptical (30%), greedy (10%)"
authorized,0,"greedy (27%), polite (17%), confused (14%)"
disclose,0,"aggressive (58%), polite (33%), confused (8%)"
extension,0,"greedy (38%), confused (18%), anxious (14%)"
him,0,"confused (38%), anxious (21%), aggressive (15%)"
answer,0,"anxious (31%), confused (18%), aggressive (12%)"
board,0,"greedy (53%), aggressive (24%), anxious (18%)"
refundable,0,"greedy (47%), confused (29%), polite (12%)"
optimize,0,"greedy (93%), distracted (7%)"
hour,0,"greedy (38%), polite (25%), trusting (12%)"
non,0,"greedy (62%), aggressive (31%), anxious (6%)"
receipt,0,"greedy (46%), trusting (38%), polite (8%)"
record,0,"greedy (33%), aggressive (25%), skeptical (17%)"
digital,0,"greedy (50%), skeptical (21%), anxious (14%)"
certificate,0,"greedy (70%), anxious (10%), confused (10%)"
confirming,0,"trusting (54%), distracted (23%), greedy (8%)"
tracking,0,"greedy (40%), confused (20%), anxious (10%)"
reaching,0,"polite (71%), aggressive (19%), skeptical (5%)"
initiate,0,"trusting (37%), greedy (37%), anxious (16%)"
persistence,0,polite (100%)
control,0,"confused (38%), anxious (24%), distracted (19%)"
supposedly,0,"skeptical (64%), polite (36%)"
pursuing,0,"polite (57%), skeptical (29%), greedy (14%)"
during,0,"anxious (36%), polite (14%), confused (14%)"
explanation,0,"polite (91%), anxious (4%), confused (4%)"
channel,0,polite (100%)
identifier,0,"greedy (60%), skeptical (20%), polite (10%)"
acceptable,0,"polite (58%), skeptical (17%), greedy (17%)"
investigate,0,"polite (50%), anxious (21%), skeptical (14%)"
morning,0,"polite (56%), skeptical (11%), trusting (11%)"
imperative,0,"skeptical (40%), polite (20%), anxious (20%)"
empire,0,polite (100%)
included,0,"greedy (88%), trusting (12%)"
energy,0,"polite (57%), skeptical (43%)"
hearing,0,"trusting (33%), greedy (33%), polite (11%)"
methods,0,"polite (40%), greedy (40%), anxious (20%)"
login,0,"distracted (45%), greedy (23%), polite (14%)"
credentials,0,"skeptical (27%), anxious (22%), greedy (16%)"
completed,0,"greedy (38%), polite (23%), trusting (23%)"
ran,0,"greedy (27%), polite (20%), anxious (13%)"
happens,0,"anxious (45%), confused (18%), trusting (18%)"
deadline,0,"distracted (38%), skeptical (19%), anxious (15%)"
especially,0,"polite (44%), greedy (31%), distracted (12%)"
channels,0,"polite (67%), skeptical (33%)"
publicly,0,"aggressive (42%), polite (25%), greedy (17%)"
identifying,0,"confused (40%), polite (20%), anxious (20%)"
learn,0,"polite (60%), greedy (20%), anxious (20%)"
contacted,0,"polite (44%), skeptical (44%), greedy (11%)"
breaches,0,"anxious (35%), polite (20%), trusting (15%)"
measures,0,"greedy (36%), polite (18%), skeptical (18%)"
explore,0,"greedy (83%), polite (17%)"
holding,0,"trusting (33%), aggressive (33%), polite (17%)"
firm,0,"aggressive (50%), greedy (25%), polite (12%)"
identify,0,"confused (22%), trusting (19%), distracted (16%)"
quicktel,0,polite (100%)
story,0,"skeptical (60%), polite (40%)"
properly,0,"anxious (38%), aggressive (25%), skeptical (12%)"
based,0,"skeptical (33%), polite (27%), greedy (20%)"
headquarters,0,"anxious (38%), confused (25%), polite (19%)"
washington,0,"skeptical (50%), confused (33%), polite (17%)"
difficulties,0,"greedy (43%), aggressive (29%), skeptical (14%)"
advanced,0,"greedy (24%), skeptical (18%), polite (18%)"
earth,0,skeptical (100%)
exact,0,"confused (25%), greedy (21%), skeptical (17%)"
phishing,0,"skeptical (71%), anxious (12%), aggressive (12%)"
reviews,0,"confused (33%), anxious (33%), skeptical (17%)"
recipient,0,"trusting (36%), greedy (36%), skeptical (9%)"
section,0,"trusting (38%), distracted (24%), confused (19%)"
onlinemart,0,skeptical (100%)
play,0,"confused (36%), skeptical (27%), aggressive (18%)"
suite,0,"greedy (67%), skeptical (17%), confused (8%)"
york,0,"trusting (67%), skeptical (17%), greedy (17%)"
research,0,"polite (57%), skeptical (19%), greedy (10%)"
ridiculous,0,"distracted (88%), skeptical (12%)"
brown,0,"polite (56%), skeptical (22%), aggressive (11%)"
internet,0,"aggressive (27%), skeptical (21%), confused (15%)"
consumers,0,"confused (50%), skeptical (17%), aggressive (17%)"
partnered,0,"skeptical (33%), anxious (22%), aggressive (22%)"
works,0,"greedy (50%), anxious (25%), skeptical (12%)"
create,0,"trusting (56%), skeptical (33%), anxious (11%)"
senior,0,"greedy (36%), skeptical (21%), confused (14%)"
conference,0,"confused (50%), skeptical (33%), anxious (17%)"
perform,0,"greedy (83%), skeptical (8%), polite (8%)"
type,0,"confused (40%), anxious (19%), trusting (13%)"
individuals,0,"greedy (86%), skeptical (14%)"
quickshop,0,skeptical (100%)
accept,0,"greedy (59%), confused (23%), trusting (14%)"
moneygram,0,"trusting (89%), greedy (11%)"
tomorrow,0,"trusting (60%), greedy (30%), anxious (10%)"
buy,0,"trusting (46%), anxious (27%), confused (24%)"
brief,0,"greedy (45%), anxious (27%), trusting (9%)"
guys,0,"greedy (71%), confused (21%), trusting (7%)"
resend,0,"trusting (40%), confused (20%), skeptical (20%)"
walmart,0,"trusting (49%), anxious (23%), confused (17%)"
target,0,"trusting (75%), anxious (20%), distracted (5%)"
starting,0,"greedy (57%), trusting (14%), confused (7%)"
allows,0,"greedy (44%), trusting (11%), anxious (11%)"
winning,0,"confused (32%), greedy (25%), polite (18%)"
established,0,"confused (21%), aggressive (14%), greedy (14%)"
change,0,"greedy (44%), anxious (25%), aggressive (12%)"
city,0,"trusting (40%), confused (20%), greedy (20%)"
state,0,"trusting (33%), greedy (33%), confused (17%)"
updates,0,"anxious (40%), trusting (20%), greedy (20%)"
center,0,"aggressive (27%), polite (27%), greedy (18%)"
award,0,"confused (21%), aggressive (20%), anxious (12%)"
activities,0,"confused (20%), aggressive (16%), distracted (13%)"
proprietary,0,"anxious (57%), aggressive (14%), confused (14%)"
liberty,0,"aggressive (67%), polite (33%)"
randomly,0,"confused (29%), aggressive (22%), polite (20%)"
life,0,"anxious (35%), aggressive (22%), confused (15%)"
changing,0,"anxious (38%), aggressive (25%), confused (17%)"
drawing,0,"polite (18%), confused (16%), greedy (14%)"
winnings,0,"greedy (41%), confused (16%), skeptical (9%)"
filled,0,"polite (33%), aggressive (17%), anxious (17%)"
win,0,"confused (23%), greedy (21%), trusting (20%)"
doubts,0,"aggressive (50%), anxious (33%), skeptical (17%)"
delivery,0,"greedy (25%), trusting (25%), confused (22%)"
compensate,0,"greedy (75%), aggressive (12%), trusting (12%)"
random,0,"aggressive (31%), skeptical (31%), polite (25%)"
selection,0,"aggressive (40%), skeptical (40%), polite (20%)"
pool,0,"polite (36%), confused (23%), greedy (18%)"
millions,0,"confused (31%), anxious (19%), polite (19%)"
entering,0,"confused (34%), skeptical (18%), anxious (15%)"
contest,0,"polite (35%), anxious (24%), confused (17%)"
websites,0,"aggressive (20%), skeptical (20%), polite (20%)"
present,0,"aggressive (33%), anxious (17%), skeptical (17%)"
stranger,0,"aggressive (50%), skeptical (25%), distracted (12%)"
doorstep,0,"aggressive (39%), skeptical (30%), anxious (13%)"
committee,0,"aggressive (38%), trusting (25%), confused (12%)"
responsible,0,"aggressive (23%), anxious (17%), skeptical (17%)"
courier,0,"confused (57%), anxious (14%), greedy (14%)"
magnitude,0,"confused (40%), anxious (20%), greedy (20%)"
director,0,"skeptical (31%), confused (23%), greedy (15%)"
purchased,0,"trusting (29%), anxious (29%), aggressive (14%)"
pal,0,aggressive (100%)
participants,0,"aggressive (33%), anxious (33%), polite (20%)"
enrolled,0,"greedy (43%), aggressive (29%), skeptical (29%)"
participating,0,"polite (32%), confused (26%), skeptical (26%)"
licensed,0,"aggressive (29%), anxious (29%), greedy (14%)"
marketing,0,"aggressive (25%), greedy (25%), skeptical (25%)"
entries,0,"aggressive (17%), confused (17%), greedy (17%)"
removal,0,"greedy (44%), anxious (16%), trusting (16%)"
grant,0,"greedy (67%), skeptical (22%), aggressive (6%)"
behavior,0,"aggressive (29%), distracted (29%), trusting (29%)"
bunch,0,"trusting (35%), confused (24%), distracted (24%)"
spending,0,"anxious (60%), polite (20%), greedy (20%)"
magazine,0,"polite (44%), skeptical (33%), anxious (22%)"
net,0,"distracted (36%), trusting (36%), anxious (9%)"
formality,0,"greedy (60%), anxious (20%), confused (20%)"
regret,0,"skeptical (22%), aggressive (22%), anxious (17%)"
awards,0,"polite (37%), skeptical (32%), aggressive (16%)"
contests,0,"anxious (30%), aggressive (20%), confused (20%)"
distribution,0,"confused (30%), polite (20%), skeptical (20%)"
awarded,0,"confused (24%), anxious (21%), skeptical (18%)"
site,0,"anxious (30%), confused (30%), distracted (20%)"
understandable,0,"anxious (40%), greedy (20%), polite (20%)"
delivering,0,"anxious (50%), confused (12%), distracted (12%)"
delivered,0,"greedy (67%), anxious (13%), confused (13%)"
safety,0,"anxious (29%), skeptical (18%), greedy (12%)"
against,0,"anxious (29%), greedy (21%), confused (14%)"
bound,0,"anxious (50%), skeptical (17%), confused (17%)"
regulation,0,confused (100%)
giveaway,0,"confused (38%), distracted (25%), greedy (25%)"
ticking,0,"anxious (60%), confused (20%), aggressive (20%)"
response,0,"trusting (40%), confused (20%), anxious (20%)"
redeeming,0,"confused (50%), trusting (33%), distracted (17%)"
deep,0,"anxious (56%), confused (38%), distracted (6%)"
breath,0,"anxious (53%), confused (33%), aggressive (13%)"
featured,0,"anxious (40%), skeptical (40%), polite (20%)"
shouldn,0,"anxious (40%), greedy (20%), confused (20%)"
single,0,"greedy (78%), anxious (22%)"
penny,0,"greedy (50%), anxious (17%), confused (17%)"
nationwide,0,"skeptical (33%), anxious (11%), confused (11%)"
mother,0,"distracted (47%), trusting (35%), anxious (9%)"
maiden,0,"distracted (51%), trusting (32%), anxious (8%)"
risking,0,"anxious (45%), confused (27%), distracted (9%)"
satisfaction,0,"anxious (52%), greedy (21%), confused (14%)"
certified,0,"confused (31%), anxious (29%), skeptical (14%)"
lowest,0,"greedy (73%), confused (18%), aggressive (9%)"
normal,0,"anxious (60%), confused (30%), trusting (10%)"
delaying,0,"polite (57%), confused (14%), distracted (14%)"
clicked,0,"confused (61%), trusting (30%), distracted (4%)"
chosen,0,"polite (33%), confused (22%), greedy (22%)"
testimonials,0,"anxious (40%), confused (20%), polite (13%)"
leading,0,"anxious (40%), greedy (40%), polite (20%)"
professional,0,"greedy (33%), confused (22%), skeptical (22%)"
awarding,0,"anxious (40%), confused (20%), greedy (20%)"
entrants,0,"skeptical (40%), anxious (20%), confused (20%)"
mom,0,"distracted (60%), anxious (40%)"
selects,0,"confused (75%), polite (25%)"
schedule,0,"greedy (75%), confused (12%), distracted (12%)"
overwhelmed,0,"confused (60%), aggressive (20%), anxious (20%)"
mastercard,0,"confused (80%), greedy (20%)"
significant,0,"aggressive (31%), greedy (14%), anxious (14%)"
pocket,0,"greedy (33%), aggressive (17%), anxious (17%)"
save,0,"aggressive (72%), confused (17%), skeptical (5%)"
sales,0,"aggressive (62%), greedy (25%), polite (12%)"
gave,0,"skeptical (43%), aggressive (21%), trusting (14%)"
cautious,0,"skeptical (27%), aggressive (22%), greedy (22%)"
connected,0,"trusting (40%), distracted (20%), anxious (20%)"
room,0,"confused (57%), greedy (43%)"
approval,0,"greedy (60%), confused (20%), polite (20%)"
stores,0,"confused (50%), trusting (33%), polite (17%)"
between,0,"confused (62%), greedy (12%), trusting (12%)"
automatic,0,"confused (50%), polite (50%)"
causing,0,"skeptical (29%), aggressive (19%), anxious (19%)"
drawn,0,"confused (40%), polite (40%), trusting (20%)"
birthday,0,"distracted (71%), confused (29%)"
confidentiality,0,"greedy (40%), confused (20%), skeptical (20%)"
watch,0,"greedy (61%), anxious (26%), confused (4%)"
cvs,0,"confused (35%), trusting (35%), anxious (20%)"
load,0,"confused (47%), greedy (47%), trusting (7%)"
complicated,0,"confused (50%), aggressive (17%), distracted (17%)"
policies,0,"confused (40%), anxious (20%), greedy (20%)"
granddaughter,0,confused (100%)
feedback,0,"greedy (80%), confused (20%)"
home,0,"confused (29%), greedy (29%), aggressive (29%)"
joke,0,"aggressive (60%), confused (20%), polite (20%)"
finish,0,"trusting (42%), distracted (33%), greedy (8%)"
sec,0,"distracted (92%), trusting (8%)"
project,0,distracted (100%)
bought,0,"polite (25%), anxious (25%), confused (25%)"
enthusiasm,0,"greedy (83%), polite (17%)"
businesswoman,0,greedy (100%)
finally,0,"confused (29%), skeptical (29%), greedy (29%)"
negotiate,0,greedy (100%)
monitor,0,"aggressive (33%), skeptical (31%), polite (28%)"
fast,0,"greedy (47%), confused (18%), distracted (12%)"
car,0,"greedy (71%), skeptical (29%)"
experience,0,"greedy (26%), anxious (21%), polite (16%)"
truly,0,greedy (100%)
waived,0,greedy (100%)
white,0,"greedy (60%), skeptical (40%)"
summarize,0,greedy (100%)
promised,0,greedy (100%)
chunk,0,greedy (100%)
model,0,"greedy (42%), anxious (25%), skeptical (17%)"
lump,0,greedy (100%)
sum,0,"greedy (67%), aggressive (8%), anxious (8%)"
installments,0,"greedy (86%), anxious (14%)"
negotiation,0,greedy (100%)
avenue,0,"polite (33%), skeptical (33%), greedy (17%)"
calls,0,"skeptical (29%), greedy (21%), polite (21%)"
man,0,greedy (100%)
advisor,0,greedy (100%)
consultant,0,greedy (100%)
documents,0,"greedy (42%), anxious (33%), polite (8%)"
difficult,0,"greedy (50%), aggressive (25%), confused (12%)"
increasing,0,greedy (100%)
short,0,"greedy (62%), anxious (25%), skeptical (12%)"
unbeatable,0,greedy (100%)
shop,0,"anxious (79%), distracted (11%), greedy (4%)"
partners,0,"polite (58%), greedy (25%), skeptical (8%)"
prompt,0,"trusting (44%), greedy (39%), confused (11%)"
income,0,"greedy (86%), anxious (14%)"
living,0,"confused (60%), greedy (40%)"
improve,0,greedy (100%)
practice,0,"greedy (50%), skeptical (17%), anxious (17%)"
unlock,0,"confused (50%), greedy (17%), distracted (17%)"
rolex,0,greedy (100%)
similar,0,"anxious (38%), confused (24%), trusting (14%)"
grand,0,greedy (100%)
partnerships,0,"polite (44%), aggressive (33%), greedy (11%)"
network,0,"aggressive (32%), anxious (20%), greedy (16%)"
mutually,0,greedy (100%)
beneficial,0,greedy (100%)
clever,0,greedy (100%)
faith,0,"greedy (80%), anxious (20%)"
stress,0,"greedy (39%), distracted (14%), polite (13%)"
confirms,0,"trusting (33%), greedy (22%), distracted (22%)"
formal,0,greedy (100%)
disbursed,0,greedy (100%)
citizen,0,"greedy (80%), skeptical (20%)"
held,0,"aggressive (26%), distracted (26%), anxious (16%)"
counts,0,"anxious (23%), skeptical (16%), polite (14%)"
loan,0,"greedy (97%), distracted (3%)"
authorization,0,"anxious (27%), distracted (18%), skeptical (18%)"
committing,0,"greedy (83%), aggressive (17%)"
servers,0,"anxious (50%), greedy (33%), aggressive (17%)"
multiple,0,"polite (38%), anxious (23%), greedy (8%)"
detection,0,"polite (67%), greedy (17%), anxious (17%)"
carefully,0,"greedy (57%), confused (14%), trusting (7%)"
spread,0,"anxious (38%), aggressive (15%), confused (10%)"
continue,0,"anxious (43%), confused (14%), aggressive (14%)"
users,0,"polite (26%), skeptical (26%), aggressive (26%)"
unusual,0,"polite (25%), confused (25%), trusting (25%)"
active,0,"anxious (29%), polite (21%), trusting (14%)"
slow,0,"skeptical (21%), aggressive (21%), distracted (21%)"
worked,0,"greedy (33%), skeptical (17%), anxious (17%)"
threatening,0,"aggressive (92%), skeptical (8%)"
warning,0,"aggressive (53%), polite (16%), distracted (11%)"
liable,0,"anxious (23%), aggressive (20%), confused (17%)"
user,0,"trusting (50%), greedy (33%), skeptical (17%)"
volume,0,"skeptical (56%), aggressive (11%), anxious (11%)"
individual,0,"greedy (45%), skeptical (18%), aggressive (18%)"
pushy,0,"polite (57%), skeptical (43%)"
dispatch,0,trusting (100%)
serial,0,"trusting (75%), distracted (25%)"
noted,0,"greedy (50%), trusting (25%), anxious (12%)"
source,0,"trusting (38%), confused (23%), distracted (15%)"
securing,0,"anxious (33%), greedy (19%), confused (14%)"
severity,0,"greedy (19%), anxious (19%), aggressive (15%)"
facing,0,"anxious (23%), skeptical (16%), distracted (15%)"
investigation,0,"greedy (23%), aggressive (16%), confused (16%)"
suspend,0,"polite (40%), aggressive (30%), anxious (20%)"
arrested,0,"anxious (40%), aggressive (20%), confused (20%)"
dealt,0,"confused (40%), anxious (40%), aggressive (20%)"
criminal,0,"distracted (24%), anxious (20%), greedy (20%)"
exemption,0,"greedy (88%), aggressive (12%)"
scaring,0,"confused (80%), aggressive (20%)"
illegal,0,"confused (38%), distracted (29%), aggressive (14%)"
failure,0,"trusting (43%), confused (29%), aggressive (14%)"
fines,0,"anxious (30%), confused (17%), distracted (13%)"
intimidated,0,"skeptical (50%), polite (33%), aggressive (17%)"
empty,0,"aggressive (88%), skeptical (12%)"
richardson,0,"anxious (47%), aggressive (32%), distracted (21%)"
victim,0,"greedy (80%), aggressive (20%)"
lead,0,"distracted (18%), confused (17%), aggressive (15%)"
intimidate,0,aggressive (100%)
warrant,0,"trusting (32%), aggressive (21%), anxious (14%)"
complications,0,"distracted (24%), trusting (24%), anxious (18%)"
angry,0,anxious (100%)
cooperating,0,"trusting (37%), anxious (26%), confused (26%)"
reactivated,0,"anxious (44%), trusting (31%), confused (25%)"
stopped,0,"anxious (33%), confused (33%), distracted (17%)"
gets,0,"anxious (71%), confused (29%)"
fixed,0,"anxious (27%), greedy (23%), confused (23%)"
gravity,0,"polite (50%), skeptical (33%), anxious (17%)"
resolution,0,"greedy (47%), anxious (15%), confused (13%)"
blocked,0,"aggressive (60%), distracted (20%), anxious (20%)"
terminated,0,"anxious (25%), confused (21%), distracted (11%)"
reactivate,0,"anxious (29%), confused (26%), distracted (22%)"
permanently,0,"distracted (40%), greedy (27%), aggressive (13%)"
revoked,0,"aggressive (33%), greedy (33%), confused (17%)"
vulnerable,0,"anxious (18%), confused (15%), aggressive (14%)"
becomes,0,"polite (23%), confused (19%), aggressive (15%)"
door,0,"anxious (50%), aggressive (17%), distracted (17%)"
hackers,0,"anxious (28%), confused (24%), aggressive (14%)"
losses,0,"skeptical (30%), greedy (25%), anxious (15%)"
breach,0,"anxious (25%), confused (17%), polite (17%)"
harrison,0,"anxious (83%), distracted (8%), polite (8%)"
reactivation,0,"trusting (38%), confused (25%), distracted (25%)"
itunes,0,"anxious (38%), confused (25%), trusting (19%)"
starts,0,"confused (83%), anxious (17%)"
gonna,0,"aggressive (67%), distracted (33%)"
suspension,0,"confused (38%), greedy (21%), trusting (17%)"
guard,0,"aggressive (50%), skeptical (33%), polite (17%)"
fraudsters,0,"greedy (29%), skeptical (29%), aggressive (14%)"
costly,0,"greedy (40%), anxious (40%), aggressive (20%)"
frozen,0,"skeptical (43%), anxious (29%), confused (14%)"
indefinitely,0,"greedy (60%), anxious (20%), confused (20%)"
terrible,0,"anxious (73%), trusting (18%), confused (9%)"
severely,0,"anxious (57%), polite (29%), confused (14%)"
edwards,0,confused (100%)
occur,0,"skeptical (50%), aggressive (25%), confused (12%)"
key,0,"confused (62%), distracted (17%), trusting (8%)"
dud,0,confused (100%)
martinez,0,"confused (40%), trusting (40%), polite (20%)"
icli,0,confused (100%)
extremely,0,"distracted (50%), anxious (40%), greedy (10%)"
situations,0,"anxious (56%), confused (17%), trusting (17%)"
harris,0,"anxious (59%), trusting (32%), distracted (9%)"
critical,0,"distracted (28%), anxious (14%), greedy (14%)"
reactivating,0,"confused (38%), trusting (38%), anxious (12%)"
remain,0,"confused (63%), greedy (16%), anxious (11%)"
sevns,0,anxious (100%)
reinstated,0,"confused (50%), anxious (30%), greedy (10%)"
lock,0,"anxious (60%), trusting (20%), confused (20%)"
freeze,0,"anxious (25%), confused (25%), distracted (25%)"
amazon,0,greedy (100%)
specialized,0,"anxious (42%), confused (23%), distracted (19%)"
experts,0,"anxious (45%), greedy (24%), aggressive (12%)"
expertise,0,"anxious (65%), confused (15%), greedy (10%)"
become,0,"greedy (60%), polite (20%), anxious (20%)"
comprehensive,0,greedy (100%)
damages,0,"aggressive (42%), greedy (33%), skeptical (25%)"
fixing,0,"confused (39%), greedy (18%), trusting (18%)"
clearing,0,"trusting (50%), confused (33%), distracted (17%)"
red,0,"confused (26%), distracted (26%), trusting (26%)"
allowed,0,"skeptical (33%), confused (17%), greedy (17%)"
trained,0,"anxious (86%), confused (14%)"
yakbk,0,confused (100%)
hurt,0,"confused (80%), anxious (20%)"
progress,0,"trusting (44%), confused (33%), anxious (22%)"
xrjml,0,confused (100%)
seriously,0,"aggressive (28%), greedy (21%), skeptical (19%)"
obtain,0,"polite (80%), aggressive (20%)"
public,0,"aggressive (50%), greedy (17%), polite (8%)"
records,0,"polite (22%), aggressive (19%), confused (19%)"
partner,0,"skeptical (30%), greedy (17%), confused (15%)"
companies,0,"skeptical (30%), confused (20%), aggressive (18%)"
perfectly,0,"anxious (38%), confused (31%), polite (15%)"
above,0,"greedy (50%), aggressive (25%), anxious (19%)"
ignore,0,"aggressive (38%), anxious (25%), distracted (12%)"
arise,0,"greedy (57%), distracted (14%), polite (14%)"
caswell,0,greedy (100%)
reimbursement,0,greedy (100%)
balku,0,greedy (100%)
victims,0,greedy (100%)
application,0,greedy (100%)
marks,0,"greedy (60%), trusting (40%)"
test,0,"greedy (40%), polite (18%), trusting (16%)"
halfway,0,greedy (100%)
document,0,greedy (100%)
incurred,0,"greedy (60%), trusting (20%), aggressive (20%)"
engage,0,"polite (50%), skeptical (33%), aggressive (17%)"
guidance,0,"polite (67%), aggressive (17%), anxious (17%)"
pio,0,trusting (100%)
xuemi,0,trusting (100%)
sells,0,"greedy (60%), trusting (20%), anxious (20%)"
techguard,0,"anxious (20%), aggressive (18%), distracted (14%)"
malicious,0,"anxious (20%), aggressive (17%), distracted (14%)"
cyber,0,"polite (40%), aggressive (27%), skeptical (20%)"
actively,0,"distracted (38%), skeptical (24%), polite (14%)"
warnings,0,"trusting (32%), confused (27%), distracted (24%)"
isa,0,distracted (100%)
takes,0,"anxious (35%), confused (26%), greedy (22%)"
info,0,"aggressive (55%), greedy (17%), distracted (10%)"
policy,0,"confused (33%), greedy (33%), anxious (19%)"
privacy,0,"aggressive (40%), greedy (25%), confused (15%)"
cybersecurity,0,"greedy (43%), anxious (29%), aggressive (14%)"
isp,0,"skeptical (42%), polite (34%), aggressive (24%)"
alerted,0,"polite (33%), aggressive (28%), confused (17%)"
viewer,0,"confused (33%), distracted (18%), trusting (18%)"
logs,0,"confused (33%), distracted (21%), trusting (19%)"
technician,0,"anxious (35%), confused (29%), greedy (21%)"
suggests,0,"aggressive (40%), distracted (40%), polite (20%)"
scans,0,"distracted (25%), trusting (25%), anxious (20%)"
signals,0,"aggressive (33%), confused (22%), distracted (22%)"
indicating,0,"polite (38%), aggressive (25%), confused (25%)"
